,Jan,,Feb,,Mar,,Apr,,May,,Jun,,Jul,,Aug,,Sep,,Oct,,Nov,,Dec,,
d,EoT,Dec,EoT,Dec,EoT,Dec,EoT,Dec,EoT,Dec,EoT,Dec,EoT,Dec,EoT,Dec,EoT,Dec,EoT,Dec,EoT,Dec,EoT,Dec,d
1,3.2,-23.1,13.5,-17.3,12.5,-7.8,4.1,4.3,-2.8,14.9,-2.3,22.0,3.7,23.1,6.4,18.2,0.3,8.5,-10.1,-3.0,-16.4,-14.2,-11.3,-21.7,1
2,3.7,-23.0,13.6,-17.0,12.3,-7.4,3.8,4.7,-2.9,15.2,-2.1,22.1,3.9,23.1,6.3,17.9,-0.1,8.1,-10.4,-3.4,-16.5,-14.6,-10.9,-21.9,2
3,4.1,-22.9,13.7,-16.7,12.1,-7.1,3.5,5.1,-3.1,15.5,-2.0,22.2,4.1,23.0,6.3,17.7,-0.4,7.8,-10.7,-3.7,-16.5,-14.9,-10.5,-22.0,3
4,4.5,-22.8,13.8,-16.4,11.9,-6.7,3.2,5.5,-3.1,15.8,-1.9,22.4,4.3,22.9,6.1,17.4,-0.7,7.4,-11.1,-4.1,-16.5,-15.2,-10.2,-22.2,4
5,5.0,-22.7,13.9,-16.1,11.7,-6.3,2.9,5.9,-3.3,16.1,-1.7,22.5,4.5,22.8,6.1,17.1,-1.1,7.0,-11.3,-4.5,-16.5,-15.5,-9.8,-22.3,5
6,5.5,-22.6,14.0,-15.8,11.4,-5.9,2.7,6.2,-3.3,16.4,-1.5,22.6,4.6,22.7,6.0,16.9,-1.4,6.7,-11.7,-4.9,-16.4,-15.8,-9.3,-22.4,6
7,5.9,-22.4,14.1,-15.5,11.2,-5.5,2.3,6.6,-3.4,16.7,-1.3,22.7,4.8,22.6,5.9,16.6,-1.7,6.3,-11.9,-5.3,-16.4,-16.1,-8.9,-22.5,7
8,6.3,-22.3,14.1,-15.2,10.9,-5.1,2.1,7.0,-3.5,16.9,-1.1,22.8,4.9,22.5,5.7,16.3,-2.1,5.9,-12.2,-5.7,-16.3,-16.4,-8.5,-22.7,8
9,6.7,-22.2,14.1,-14.9,10.7,-4.7,1.8,7.4,-3.5,17.2,-0.9,22.9,5.1,22.4,5.6,16.0,-2.4,5.5,-12.5,-6.0,-16.3,-16.7,-8.1,-22.8,9
